site_id,band_index,wavelength_nm
goldfield,360,2176.5601
goldfield,361,2181.5300
goldfield,362,2186.5100
goldfield,363,2191.4800
goldfield,364,2196.4500
goldfield,365,2201.4199
goldfield,366,2206.3899
goldfield,367,2211.3601
goldfield,368,2216.3401
goldfield,369,2221.3101
goldfield,370,2226.2800
goldfield,371,2231.2500
goldfield,372,2236.2200
goldfield,373,2241.1799
goldfield,374,2246.1499
goldfield,375,2251.1201
goldfield,376,2256.0901
goldfield,377,2261.0601
goldfield,378,2266.0200
goldfield,379,2270.9900
goldfield,380,2275.9600
goldfield,381,2280.9199
goldfield,382,2285.8899
goldfield,383,2290.8601
goldfield,384,2295.8201
goldfield,385,2300.7900
goldfield,386,2305.7500
goldfield,387,2310.7200
goldfield,388,2315.6799
goldfield,389,2320.6499
goldfield,390,2325.6101
goldfield,391,2330.5701
goldfield,392,2335.5300
goldfield,393,2340.5000
goldfield,394,2345.4600
goldfield,395,2350.4199
goldfield,396,2355.3799
goldfield,397,2360.3501
goldfield,398,2365.3101
goldfield,399,2370.2700
goldfield,400,2375.2300
goldfield,401,2380.1899
goldfield,402,2385.1499
goldfield,403,2390.1101
goldfield,404,2395.0701
goldfield,405,2400.0300
goldfield,406,2404.9900
goldfield,407,2409.9500
goldfield,408,2414.8999
goldfield,409,2419.8601
goldfield,410,2424.8201
goldfield,411,2429.7800
goldfield,412,2434.7400
goldfield,413,2439.6899
goldfield,414,2444.6499
goldfield,415,2449.6101
goldfield,416,2454.5601
goldfield,417,2459.5200
goldfield,418,2464.4800
goldfield,419,2469.4299
goldfield,420,2474.3899
goldfield,421,2479.3401
goldfield,422,2484.3000
goldfield,423,2489.2500
goldfield,424,2494.2100
goldfield,425,2499.1599
